survey,mode_acc_walk,count,count_moe,share,share_moe,sample_size,year
2017_2019,Other Access Mode,76864.67889,19849.31149,0.142814829,0.034500301,334,2017/2019
2017_2019,Walked or jogged,461347.491,49535.05953,0.857185171,0.034500301,4144,2017/2019
2021,Other Access Mode,95813.72324,26434.50548,0.246473121,0.060474803,78,2021
2021,Walked or jogged,292925.312,36395.10969,0.753526879,0.060474803,297,2021
